Timestamp,ARIMA_Forecast,Hybrid_Forecast,Predicted_Residual,Anomaly
2018-02-28 03:02:00,54416631.26224462,72069264.61327258,17652633.351027966,True
2018-02-28 03:32:00,52619577.84907314,52226716.187101334,-392861.6619718075,False
2018-02-28 04:02:00,51583102.932755455,53072539.47498296,1489436.5422275066,False
2018-02-28 04:32:00,51698520.94705027,54633366.97948927,2934846.0324389935,False
2018-02-28 05:02:00,52012048.26094072,53871897.32267135,1859849.0617306232,False
2018-02-28 05:32:00,52283311.83650269,54173291.15437045,1889979.317867756,False
2018-02-28 06:02:00,52518008.86022796,54551897.02384128,2033888.1636133194,False
2018-02-28 06:32:00,52721068.533209786,54765386.40087055,2044317.8676607609,False
2018-02-28 07:02:00,52896755.59620278,55009551.31872051,2112795.722517729,False
2018-02-28 07:32:00,53048759.899419926,55233510.04481044,2184750.1453905106,False
2018-02-28 08:02:00,53180273.89824778,55415697.65623242,2235423.757984638,False
2018-02-28 08:32:00,53294059.70247586,55568779.21409376,2274719.511617899,False
2018-02-28 09:02:00,53392507.0872351,55693985.6375202,2301478.550285101,False
2018-02-28 09:32:00,53477683.68401431,55794332.71291398,2316649.0288996696,False
2018-02-28 10:02:00,53551378.40588663,55875191.27190969,2323812.8660230637,False
2018-02-28 10:32:00,53615139.018979855,55940426.792646,2325287.7736661434,False
2018-02-28 11:02:00,53670304.64928196,55993590.76257537,2323286.1132934093,False
2018-02-28 11:32:00,53718033.90750253,56037527.40114224,2319493.4936397076,False
2018-02-28 12:02:00,53759329.22267994,56074714.0450283,2315384.8223483562,False
2018-02-28 12:32:00,53795057.89559836,56106650.098293014,2311592.2026946545,False
2018-02-28 13:02:00,53825970.31418694,56134507.35104955,2308537.036862612,False
2018-02-28 13:32:00,53852715.713468276,56158935.038320504,2306219.324852228,False
2018-02-28 14:02:00,53875855.81105296,56180494.87771599,2304639.066663027,False
2018-02-28 14:32:00,53895876.604558274,56199567.516308114,2303690.91174984,False
2018-02-28 15:02:00,53913198.578725204,56216468.08829127,2303269.5095660686,False
2018-02-28 15:32:00,53928185.53660778,56231560.39671973,2303374.860111952,False
2018-02-28 16:02:00,53941152.24031081,56244632.450968646,2303480.210657835,False
2018-02-28 16:32:00,53952371.02174995,56255956.58295367,2303585.561203718,False
2018-02-28 17:02:00,53962077.50227589,56265873.764571615,2303796.262295723,False
2018-02-28 17:32:00,53970475.54128856,56274482.50467605,2304006.9633874893,False
2018-02-28 18:02:00,53977741.517774045,56281853.83170742,2304112.3139333725,False
2018-02-28 18:32:00,53984028.03468686,56288351.04971224,2304323.0150253773,False
2018-02-28 19:02:00,53989467.12397845,56294106.19064148,2304639.066663027,False
2018-02-28 19:32:00,53994173.019585215,56298917.43679436,2304744.4172091484,False
2018-02-28 20:02:00,53998244.5566155,56302883.62327853,2304639.066663027,False
2018-02-28 20:32:00,54001767.24712423,56306300.963241376,2304533.7161171436,False
2018-02-28 21:02:00,54004815.076071374,56309243.441642635,2304428.3655712605,False
2018-02-28 21:32:00,54007452.0551838,56311985.77130094,2304533.7161171436,False
2018-02-28 22:02:00,54009733.56735523,56314267.283472374,2304533.7161171436,False
2018-02-28 22:32:00,54011707.52982004,56316135.8953913,2304428.3655712605,False
2018-02-28 23:02:00,54013415.4005302,56317949.11664734,2304533.7161171436,False
2018-02-28 23:32:00,54014893.04887186,56319426.764989,2304533.7161171436,False
2018-03-01 00:02:00,54016171.50900858,56320705.22512572,2304533.7161171436,False
2018-03-01 00:32:00,54017277.63167329,56321811.347790435,2304533.7161171436,False
2018-03-01 01:02:00,54018234.64809816,56322768.36421531,2304533.7161171436,False
2018-03-01 01:32:00,54019062.65792628,56323596.37404342,2304533.7161171436,False
2018-03-01 02:02:00,54019779.051352374,56324312.76746952,2304533.7161171436,False
2018-03-01 02:32:00,54020398.874358736,56324932.59047588,2304533.7161171436,False
