dataset,ARIMA Order,RMSE,MAE,Training Time (s)
missing_5,"(2, 1, 5)",70797941.4506975,60323872.25377325,459.95
missing_10,"(2, 1, 5)",69804332.30497384,59647749.82145574,476.13
missing_20,"(2, 1, 5)",67387765.44437146,57800337.148451395,328.54
irregular_5,"(0, 1, 2)",61588880.36385844,53422462.33851942,394.61
irregular_10,"(0, 1, 2)",73227138.73425719,62422748.50088509,475.73
fluctuations,"(0, 1, 2)",64805991.62827387,55682948.370613016,402.21
