Dataset,MAE,RMSE,MAPE,LjungBox_p,Shapiro_p,Training_Time_sec,Inference_Time_sec
missing_5,7865612.006035629,13670329.649892788,5711.745248129619,0.6910410434399614,3.5099846935954063e-71,43.673059940338135,1.0638115406036377
missing_10,7677861.311294276,13369901.746996436,5825.889137378984,0.33997005475819325,6.373878976395286e-72,37.62841057777405,1.0419983863830566
missing_20,7092462.429154069,12658710.785432333,4713.409051082291,0.6728770355733499,3.0241022799615194e-73,35.71353530883789,1.0059258937835693
irregular_resampled,7666832.02782047,13368419.17729433,5801.683430225526,0.3272543081952199,6.945084477584936e-72,54.8843674659729,1.237884283065796
fluctuated,26762603.65500826,68343236.83376281,31033.268521443504,0.35909255008655827,7.80862505393267e-100,32.827057123184204,1.02897310256958
