Dataset,MAE,RMSE,MAPE,LjungBox_p,Shapiro_p,Training_Time_sec,Inference_Time_sec
missing_5,7960092.95276926,13662000.335815098,8304.927884047,0.3525989765036416,2.5703475510352887e-71,32.02977919578552,1.062007188796997
missing_10,7785509.32961706,13353731.538603885,8889.098753526388,0.3488046375502209,5.984448089343139e-72,39.92464590072632,1.0597808361053467
missing_20,7121438.951919024,12653782.82758177,6688.239432478432,0.40434656533040997,2.5899248861696974e-73,34.29841089248657,1.0739402770996094
irregular_resampled,8317836.471369513,13513824.775550377,11270.411289339441,5.4977064659160104e-08,2.8099764338778707e-72,18.893333196640015,1.2742080688476562
fluctuated,28314600.63977296,68324095.20545484,41029.14127206573,0.004216275965898356,2.1390259707105138e-100,16.773473978042603,1.060450792312622
